code,neuromusc,cvd,respiratory,renal,gi,hemato_immu,metabolic,congeni_genetic,malignancy,neonatal,tech_dep,transplant,ccc_flag
00XR0ZR,0,0,0,0,0,0,0,0,0,0,0,0,0
00XR4ZK,0,0,0,0,0,0,0,0,0,0,0,0,0
00XR4ZS,0,0,0,0,0,0,0,0,0,0,0,0,0
00XS0ZM,0,0,0,0,0,0,0,0,0,0,0,0,0
00XS4ZF,0,0,0,0,0,0,0,0,0,0,0,0,0
00XS4ZH,0,0,0,0,0,0,0,0,0,0,0,0,0
00XS4ZL,0,0,0,0,0,0,0,0,0,0,0,0,0
01504ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01543ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01580ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
015A4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
015B3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
015G0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
015N0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01800ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01823ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01864ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01894ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
018C4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
018G4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
018M3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
018M4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
018N4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
018R0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
018R3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01913ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
019230Z,0,0,0,0,0,0,0,0,0,0,0,0,0
01924ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01930ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
019340Z,0,0,0,0,0,0,0,0,0,0,0,0,0
019540Z,0,0,0,0,0,0,0,0,0,0,0,0,0
01960ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
01963ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
01964ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
0016072,1,0,0,0,0,0,0,0,0,0,0,0,1
0016075,1,0,0,0,0,0,0,0,0,0,0,0,1
0016076,1,0,0,0,0,0,0,0,0,0,0,0,1
00160J4,1,0,0,0,0,0,0,0,0,0,1,0,1
00160K0,1,0,0,0,0,0,0,0,0,0,1,0,1
0016370,1,0,0,0,0,0,0,0,0,0,0,0,1
0016378,1,0,0,0,0,0,0,0,0,0,0,0,1
00163J0,1,0,0,0,0,0,0,0,0,0,1,0,1
